protocol,problem,parameter,value,lambda_1,stagnation_limit,seed,migd,tail_igd,n_evals,pitstop_count,redeployment_count,environment_change_count,change_response_count,replaced_count,runtime_sec
moderate_t10_n10,df1,lambda_1,0.12,0.12,8,7,0.08024953094581795,0.016522603689407334,12196,4,6,6,6,48,0.958461599999282
moderate_t10_n10,df1,lambda_1,0.12,0.12,8,8,0.1026584022303407,0.020920715277992295,12208,5,6,6,6,48,0.9714582999986305
moderate_t10_n10,df1,lambda_1,0.12,0.12,8,9,0.10712019991312063,0.02147693814579813,12220,6,6,6,6,48,0.9872388000003411
moderate_t10_n10,df4,lambda_1,0.12,0.12,8,0,0.3323130953159716,0.1828366986912783,12208,5,6,6,6,48,1.0008424000006926
moderate_t10_n10,df4,lambda_1,0.12,0.12,8,1,0.3204448284286709,0.18030244564799627,12208,5,6,6,6,48,1.0121280000021216
moderate_t10_n10,df4,lambda_1,0.12,0.12,8,2,0.3287301536993251,0.17724323225162048,12220,6,6,6,6,48,1.009373199998663
moderate_t10_n10,df4,lambda_1,0.12,0.12,8,3,0.30570960381787654,0.1834922555562381,12208,5,6,6,6,48,1.005596200000582
moderate_t10_n10,df4,lambda_1,0.12,0.12,8,4,0.4204819789615764,0.18307761125708452,12208,5,6,6,6,48,1.0166075000015553
moderate_t10_n10,df4,lambda_1,0.12,0.12,8,5,0.3290748515220994,0.17986706955532986,12208,5,6,6,6,48,1.0173620999994455
moderate_t10_n10,df4,lambda_1,0.12,0.12,8,6,0.3401175623065491,0.18145901469108852,12196,4,6,6,6,48,1.0174372000001313
moderate_t10_n10,df4,lambda_1,0.12,0.12,8,7,0.3869593536099608,0.18411843839908532,12184,3,6,6,6,48,1.0063465999992331
moderate_t10_n10,df4,lambda_1,0.12,0.12,8,8,0.29545822100698316,0.18070707307932382,12208,5,6,6,6,48,1.0139918999993824
moderate_t10_n10,df4,lambda_1,0.12,0.12,8,9,0.2550936003324855,0.18000230338562,12208,5,6,6,6,48,1.0067330000019865
moderate_t10_n10,df7,lambda_1,0.12,0.12,8,0,0.10983248493056776,0.014835395304610163,12208,5,6,6,6,48,0.9539948999990884
moderate_t10_n10,df7,lambda_1,0.12,0.12,8,1,0.09183266022272926,0.011962126466124354,12196,4,6,6,6,48,0.9477786000024935
moderate_t10_n10,df7,lambda_1,0.12,0.12,8,2,0.10370950551406993,0.011824388872052328,12208,5,6,6,6,48,0.9840777999997954
moderate_t10_n10,df7,lambda_1,0.12,0.12,8,3,0.11075350032116944,0.013237069242371094,12208,5,6,6,6,48,0.9836976000005961
moderate_t10_n10,df7,lambda_1,0.12,0.12,8,4,0.11259598093355891,0.0144074791866033,12208,5,6,6,6,48,1.000507099997776
moderate_t10_n10,df7,lambda_1,0.12,0.12,8,5,0.11913754519847067,0.012050126342246928,12196,4,6,6,6,48,0.9976037000014912
moderate_t10_n10,df7,lambda_1,0.12,0.12,8,6,0.17493549790191504,0.013438091311062944,12208,5,6,6,6,48,0.9522618999981205
moderate_t10_n10,df7,lambda_1,0.12,0.12,8,7,0.12543143248977165,0.012975607450938906,12208,5,6,6,6,48,0.9504918999991787
moderate_t10_n10,df7,lambda_1,0.12,0.12,8,8,0.22387289135377472,0.012060307884689626,12220,6,6,6,6,48,0.9546149999987392
moderate_t10_n10,df7,lambda_1,0.12,0.12,8,9,0.18165967987733567,0.012804698383678297,12184,3,6,6,6,48,0.955689500002336
moderate_t10_n10,df9,lambda_1,0.12,0.12,8,0,0.20219913243931134,0.17810651289975252,12220,6,6,6,6,48,1.1062041999975918
moderate_t10_n10,df9,lambda_1,0.12,0.12,8,1,0.19015548076639813,0.13276211704915758,12220,6,6,6,6,48,1.110258699998667
moderate_t10_n10,df9,lambda_1,0.12,0.12,8,2,0.14136358923077294,0.10684576629774759,12208,5,6,6,6,48,1.0895801999977266
moderate_t10_n10,df9,lambda_1,0.12,0.12,8,3,0.16491777912736874,0.2065884379492759,12220,6,6,6,6,48,1.0975011000009545
moderate_t10_n10,df9,lambda_1,0.12,0.12,8,4,0.1677367419826993,0.11625749102687735,12208,5,6,6,6,48,1.0975048000000243
moderate_t10_n10,df9,lambda_1,0.12,0.12,8,5,0.21872248554064333,0.2787506017279947,12220,6,6,6,6,48,1.102304300002288
moderate_t10_n10,df9,lambda_1,0.12,0.12,8,6,0.16404628824113052,0.14967317056175922,12208,5,6,6,6,48,1.0977476999978535
moderate_t10_n10,df9,lambda_1,0.12,0.12,8,7,0.15660074683194194,0.1194700312711469,12220,6,6,6,6,48,1.0914116999992984
moderate_t10_n10,df9,lambda_1,0.12,0.12,8,8,0.1547839845768908,0.1187529328973304,12220,6,6,6,6,48,1.0783788000007917
moderate_t10_n10,df9,lambda_1,0.12,0.12,8,9,0.16437127102042745,0.17270367822013816,12208,5,6,6,6,48,1.0982813999980863
moderate_t10_n10,df1,lambda_1,0.15,0.15,8,0,0.09735257015665644,0.016312253274549403,12208,5,6,6,6,48,0.9599450000023353
moderate_t10_n10,df1,lambda_1,0.15,0.15,8,1,0.07950491021582644,0.03185909212737853,12208,5,6,6,6,48,0.9692263000033563
moderate_t10_n10,df1,lambda_1,0.15,0.15,8,2,0.08554292275530019,0.014801749308165945,12220,6,6,6,6,48,0.9746679999989283
moderate_t10_n10,df1,lambda_1,0.15,0.15,8,3,0.0805475279403444,0.01933196832230034,12220,6,6,6,6,48,0.9832573999992746
moderate_t10_n10,df1,lambda_1,0.15,0.15,8,4,0.10209804481706221,0.01724934543182174,12208,5,6,6,6,48,0.9794770000007702
moderate_t10_n10,df1,lambda_1,0.15,0.15,8,5,0.10966291743389169,0.018053272754510154,12208,5,6,6,6,48,0.9984212999988813
moderate_t10_n10,df1,lambda_1,0.15,0.15,8,6,0.08625192029631967,0.01982031785375129,12208,5,6,6,6,48,1.0029415000026347
moderate_t10_n10,df1,lambda_1,0.15,0.15,8,7,0.07551560790427474,0.015114043865638147,12196,4,6,6,6,48,0.9990829999987909
moderate_t10_n10,df1,lambda_1,0.15,0.15,8,8,0.11599827520245345,0.01609101930164481,12196,4,6,6,6,48,0.994818099999975
moderate_t10_n10,df1,lambda_1,0.15,0.15,8,9,0.09976886044010436,0.01906005732325592,12208,5,6,6,6,48,0.9593184999976074
moderate_t10_n10,df4,lambda_1,0.15,0.15,8,0,0.31773554118288355,0.18263886625927134,12208,5,6,6,6,48,0.9963677000014286
moderate_t10_n10,df4,lambda_1,0.15,0.15,8,1,0.29462752669911035,0.18212282342122624,12208,5,6,6,6,48,0.9968597000006412
moderate_t10_n10,df4,lambda_1,0.15,0.15,8,2,0.2967864806741671,0.1778989606610182,12220,6,6,6,6,48,1.0096918000017467
moderate_t10_n10,df4,lambda_1,0.15,0.15,8,3,0.26745994384879984,0.17980328774949583,12208,5,6,6,6,48,1.0171000999980606
moderate_t10_n10,df4,lambda_1,0.15,0.15,8,4,0.4107540615751549,0.18363493387194357,12208,5,6,6,6,48,0.993901800000458
moderate_t10_n10,df4,lambda_1,0.15,0.15,8,5,0.3047529167742153,0.17781903828491835,12208,5,6,6,6,48,1.000688000000082
moderate_t10_n10,df4,lambda_1,0.15,0.15,8,6,0.29173401647828306,0.1767803320133094,12208,5,6,6,6,48,1.000838299998577
moderate_t10_n10,df4,lambda_1,0.15,0.15,8,7,0.3616438605816839,0.1820552157787151,12220,6,6,6,6,48,1.002317700000276
