protocol,problem,algorithm,mean,std,ci95_low,ci95_high
moderate_t10_n10,df8,FITO,0.061919106329618355,0.003934689554398498,0.06007761493336988,0.06376059772586683
moderate_t10_n10,df8,KGB-DMOEA,0.1647104215787473,0.022966791661819374,0.15396163221177098,0.17545921094572367
moderate_t10_n10,df8,MDDM-DMOEA,0.09705817508647113,0.007071368313475552,0.09374867284266325,0.10036767733027901
moderate_t10_n10,df8,NSGA-II,0.14697965007984254,0.007827170708900901,0.1433164214265689,0.1506428787331162
moderate_t10_n10,df8,PPS-DMOEA,0.09912471367320876,0.00656292673151869,0.09605316941457961,0.1021962579318379
moderate_t10_n10,df9,DNSGA-II-A,0.4678551883725525,0.06330212194812887,0.4382288833438776,0.49748149340122744
moderate_t10_n10,df9,DNSGA-II-B,0.48944416690279746,0.05696162163390436,0.46278530736508966,0.5161030264405052
moderate_t10_n10,df9,FITO,0.1833059518609252,0.0298957570464196,0.16931430687237098,0.1972975968494794
moderate_t10_n10,df9,KGB-DMOEA,0.6526577753958951,0.1494556104752519,0.5827103965731932,0.7226051542185967
moderate_t10_n10,df9,MDDM-DMOEA,0.37760769346429507,0.046922019683559094,0.35564751227407043,0.3995678746545198
moderate_t10_n10,df9,NSGA-II,0.3725540948011671,0.06511662815207542,0.3420785747285069,0.40302961487382727
moderate_t10_n10,df9,PPS-DMOEA,0.45302175801133104,0.059555153019247076,0.4251490884217806,0.48089442760088147
severe_t10_n20,df1,DNSGA-II-A,0.1357231151890584,0.016650232448247468,0.12793056653303816,0.1435156638450786
severe_t10_n20,df1,DNSGA-II-B,0.13117103231884547,0.015976428476436794,0.12369383362873561,0.13864823100895535
severe_t10_n20,df1,FITO,0.0722052346865704,0.013485329187610194,0.06589390635145381,0.07851656302168702
severe_t10_n20,df1,KGB-DMOEA,0.15654893151226604,0.019883121656197558,0.14724334413256568,0.1658545188919664
severe_t10_n20,df1,MDDM-DMOEA,0.1314578209056766,0.019206226058869517,0.122469030417168,0.14044661139418524
severe_t10_n20,df1,NSGA-II,0.10710180726674197,0.01962398685144272,0.09791749870887169,0.11628611582461225
severe_t10_n20,df1,PPS-DMOEA,0.13253099439593946,0.017759377145462142,0.1242193500428185,0.14084263874906042
severe_t10_n20,df2,DNSGA-II-A,0.11328121126396493,0.020023015779737606,0.10391015141907435,0.1226522711088555
severe_t10_n20,df2,DNSGA-II-B,0.22935594504364237,0.020398751820954526,0.21980903531845108,0.23890285476883366
severe_t10_n20,df2,FITO,0.16877231690031985,0.02051194046983748,0.15917243325680813,0.17837220054383157
severe_t10_n20,df2,KGB-DMOEA,0.12309056327013601,0.02277438024475165,0.11243182521830702,0.133749301321965
severe_t10_n20,df2,MDDM-DMOEA,0.23018120159485872,0.024306523167934926,0.21880539858228562,0.24155700460743182
severe_t10_n20,df2,NSGA-II,0.07497371958041883,0.014516656572982286,0.0681797151712127,0.08176772398962497
severe_t10_n20,df2,PPS-DMOEA,0.2362248956648981,0.022307363144256236,0.22578472834414542,0.24666506298565077
severe_t10_n20,df3,DNSGA-II-A,0.5152200850486597,0.130940083466212,0.45393823960864577,0.5765019304886736
severe_t10_n20,df3,DNSGA-II-B,0.5002082919837362,0.1293176708643598,0.43968575901454626,0.560730824952926
severe_t10_n20,df3,FITO,0.2020179946737183,0.07220303162282374,0.16822593568704378,0.23581005366039284
severe_t10_n20,df3,KGB-DMOEA,0.43393477774129696,0.05882979711319877,0.4064015851655588,0.4614679703170349
severe_t10_n20,df3,MDDM-DMOEA,0.48371425902099235,0.10357639209932214,0.4352390153535114,0.5321895026884735
severe_t10_n20,df3,NSGA-II,0.47030193219887473,0.09026447523926713,0.4280568573989635,0.5125470069987857
severe_t10_n20,df3,PPS-DMOEA,0.500988743914802,0.10608070288784748,0.4513414467201381,0.5506360411094656
